Index,X (m),Y (m),Z (m),Distance (m),Power (dBm),Phase (deg)
130,0.248192,-15.6136,2.5,25.6195,-81.3098,99.8733
131,0.748192,-15.6136,2.5,25.6352,-83.7075,2.25938
132,1.24819,-15.6136,2.5,25.6607,-81.34,-8.78623
133,1.74819,-15.6136,2.5,25.6958,-82.171,80.1802
134,2.24819,-15.6136,2.5,25.7406,-79.578,-112.368
135,2.74819,-15.6136,2.5,25.795,-82.3528,138.863
136,3.24819,-15.6136,2.5,25.8589,-84.5358,87.9681
137,3.74819,-15.6136,2.5,25.9324,-85.1113,96.7999
138,4.24819,-15.6136,2.5,26.0152,-84.1306,-119.061
139,4.74819,-15.6136,2.5,26.1074,-86.2246,80.1702
140,5.24819,-15.6136,2.5,26.2088,-82.3756,57.6181
141,5.74819,-15.6136,2.5,26.3193,-82.1371,131.077
142,6.24819,-15.6136,2.5,26.4388,-88.4059,-44.7515
143,6.74819,-15.6136,2.5,26.5671,-83.4698,144.695
144,7.24819,-15.6136,2.5,26.7042,-86.9833,-144.955
145,7.74819,-15.6136,2.5,26.8499,-99.957,-135.281
146,8.24819,-15.6136,2.5,27.0041,-106.752,47.882
147,8.74819,-15.6136,2.5,27.1666,-113.817,24.5455
148,9.24819,-15.6136,2.5,27.3373,-250.0,0.0
149,-27.2518,-15.1136,2.5,36.8346,-250.0,0.0
150,-26.7518,-15.1136,2.5,36.4704,-250.0,0.0
151,-26.2518,-15.1136,2.5,36.1095,-250.0,0.0
152,-25.7518,-15.1136,2.5,35.7519,-250.0,0.0
153,-25.2518,-15.1136,2.5,35.3978,-250.0,0.0
154,-24.7518,-15.1136,2.5,35.0472,-250.0,0.0
155,-24.2518,-15.1136,2.5,34.7003,-250.0,0.0
156,-23.7518,-15.1136,2.5,34.3571,-250.0,0.0
157,-23.2518,-15.1136,2.5,34.0179,-250.0,0.0
158,-22.7518,-15.1136,2.5,33.6826,-250.0,0.0
159,-22.2518,-15.1136,2.5,33.3515,-250.0,0.0
160,-21.7518,-15.1136,2.5,33.0247,-250.0,0.0
161,-21.2518,-15.1136,2.5,32.7022,-250.0,0.0
162,-20.7518,-15.1136,2.5,32.3842,-250.0,0.0
163,-20.2518,-15.1136,2.5,32.0709,-250.0,0.0
164,-19.7518,-15.1136,2.5,31.7623,-250.0,0.0
165,-19.2518,-15.1136,2.5,31.4587,-250.0,0.0
166,-18.7518,-15.1136,2.5,31.1601,-250.0,0.0
167,-18.2518,-15.1136,2.5,30.8667,-250.0,0.0
168,-17.7518,-15.1136,2.5,30.5787,-112.967,15.1204
169,-17.2518,-15.1136,2.5,30.2963,-111.64,40.4732
170,-16.7518,-15.1136,2.5,30.0194,-118.778,-169.306
171,-16.2518,-15.1136,2.5,29.7485,-111.512,160.28
172,-15.7518,-15.1136,2.5,29.4835,-118.027,82.6691
173,-15.2518,-15.1136,2.5,29.2246,-123.846,-61.5985
174,-14.7518,-15.1136,2.5,28.9721,-126.635,40.5097
175,-14.2518,-15.1136,2.5,28.7261,-133.581,27.6317
176,-13.7518,-15.1136,2.5,28.4867,-142.214,-76.5416
177,-13.2518,-15.1136,2.5,28.2541,-185.723,-39.0301
178,-12.7518,-15.1136,2.5,28.0285,-175.531,151.185
179,-12.2518,-15.1136,2.5,27.8101,-101.566,51.9782
180,-11.7518,-15.1136,2.5,27.599,-97.0269,97.8468
181,-11.2518,-15.1136,2.5,27.3954,-99.2625,126.019
182,-10.7518,-15.1136,2.5,27.1995,-100.768,86.2783
183,-10.2518,-15.1136,2.5,27.0114,-99.8811,-116.191
184,-9.75181,-15.1136,2.5,26.8313,-105.479,-44.1833
185,-9.25181,-15.1136,2.5,26.6594,-102.592,81.6422
