N,X,Y,Z,Distance,Power (dBm),Phase (deg),Angle
1530.0,-2.75181,-6.11356,2.5,16.2982,-81.3566,-45.076,-166
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-166
258.0,-9.75181,-14.6136,2.5,26.3639,-104.027,-1.74194,-166
478.0,-10.7518,-13.1136,2.5,25.3645,-105.358,109.008,-166
475.0,-12.2518,-13.1136,2.5,26.0182,-101.846,-165.021,-166
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-166
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-166
853.0,-8.25181,-10.6136,2.5,22.0921,-93.5198,79.0319,-166
774.0,-10.7518,-11.1136,2.5,23.5564,-90.2178,136.185,-166
917.0,-13.2518,-10.1136,2.5,23.9198,-104.607,152.606,-166
613.0,-17.2518,-12.1136,2.5,27.86,-107.901,10.994,-166
693.0,-14.2518,-11.6136,2.5,25.7224,-99.1597,-67.0166,-166
715.0,-3.25181,-11.6136,2.5,21.8134,-85.5708,85.1599,-166
3234.0,-1.75181,5.38644,2.5,4.8349,-70.1643,-63.6373,-166
3189.0,-24.2518,5.38644,2.5,24.3865,-116.52,-21.019,-166
3342.0,-21.7518,6.38644,2.5,21.7484,-250.0,0.0,-166
3167.0,1.74819,4.88644,2.5,5.51061,-70.0671,-109.938,-166
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-166
3489.0,-22.2518,7.38644,2.5,22.1012,-106.925,29.2511,-166
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-166
2276.0,0.248192,-1.11356,2.5,11.1274,-74.188,-23.0889,-166
2235.0,-20.2518,-1.11356,2.5,22.8333,-118.919,19.8783,-166
2223.0,-26.2518,-1.11356,2.5,28.2261,-113.239,-53.4332,-166
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-166
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-166
2018.0,-17.7518,-2.61356,2.5,21.5284,-111.067,-177.287,-166
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-166
2902.0,-19.7518,3.38644,2.5,20.54,-108.366,-52.2748,-166
2573.0,0.748192,0.886438,2.5,9.17429,-76.9303,134.616,-166
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-166
2648.0,1.24819,1.38644,2.5,8.75259,-74.7361,47.6603,-166
2642.0,-1.75181,1.38644,2.5,8.73412,-75.8036,-136.568,-166
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-166
1052.0,-19.7518,-9.11356,2.5,27.2668,-104.924,81.7182,-165
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.1017,125.329,-165
1828.0,-1.75181,-4.11356,2.5,14.1875,-77.9181,-58.1369,-165
1756.0,-0.751808,-4.61356,2.5,14.6204,-78.8025,56.4237,-165
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-165
1530.0,-2.75181,-6.11356,2.5,16.2982,-77.828,-72.74,-165
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-165
258.0,-9.75181,-14.6136,2.5,26.3639,-88.4645,-60.5224,-165
478.0,-10.7518,-13.1136,2.5,25.3645,-92.1859,109.298,-165
475.0,-12.2518,-13.1136,2.5,26.0182,-101.439,-177.8,-165
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-165
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-165
853.0,-8.25181,-10.6136,2.5,22.0921,-94.445,-53.7266,-165
774.0,-10.7518,-11.1136,2.5,23.5564,-100.221,-171.327,-165
917.0,-13.2518,-10.1136,2.5,23.9198,-106.679,89.7778,-165
693.0,-14.2518,-11.6136,2.5,25.7224,-101.532,-155.517,-165
715.0,-3.25181,-11.6136,2.5,21.8134,-82.4483,24.339,-165
613.0,-17.2518,-12.1136,2.5,27.86,-101.688,-9.33648,-165
3234.0,-1.75181,5.38644,2.5,4.8349,-69.2419,-69.458,-165
3342.0,-21.7518,6.38644,2.5,21.7484,-125.747,122.334,-165
3189.0,-24.2518,5.38644,2.5,24.3865,-250.0,0.0,-165
3167.0,1.74819,4.88644,2.5,5.51061,-70.08,-109.988,-165
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-165
3489.0,-22.2518,7.38644,2.5,22.1012,-128.399,10.4001,-165
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-165
2276.0,0.248192,-1.11356,2.5,11.1274,-75.8265,-23.2527,-165
2223.0,-26.2518,-1.11356,2.5,28.2261,-116.115,178.496,-165
2235.0,-20.2518,-1.11356,2.5,22.8333,-118.919,19.8783,-165
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-165
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-165
2018.0,-17.7518,-2.61356,2.5,21.5284,-117.843,-90.9726,-165
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-165
2902.0,-19.7518,3.38644,2.5,20.54,-250.0,0.0,-165
2573.0,0.748192,0.886438,2.5,9.17429,-75.8881,128.469,-165
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-165
2648.0,1.24819,1.38644,2.5,8.75259,-74.9949,33.5408,-165
2642.0,-1.75181,1.38644,2.5,8.73412,-74.9744,-139.681,-165
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-165
1052.0,-19.7518,-9.11356,2.5,27.2668,-101.395,108.961,-164
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.1137,-138.239,-164
1828.0,-1.75181,-4.11356,2.5,14.1875,-79.6,-61.9679,-164
1756.0,-0.751808,-4.61356,2.5,14.6204,-78.6898,61.7073,-164
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-164
1530.0,-2.75181,-6.11356,2.5,16.2982,-81.849,-82.1215,-164
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-164
258.0,-9.75181,-14.6136,2.5,26.3639,-94.0052,-139.209,-164
478.0,-10.7518,-13.1136,2.5,25.3645,-94.2997,144.468,-164
475.0,-12.2518,-13.1136,2.5,26.0182,-99.8438,49.1498,-164
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-164
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-164
853.0,-8.25181,-10.6136,2.5,22.0921,-95.2609,-92.4823,-164
774.0,-10.7518,-11.1136,2.5,23.5564,-92.2383,118.257,-164
917.0,-13.2518,-10.1136,2.5,23.9198,-107.959,57.7867,-164
613.0,-17.2518,-12.1136,2.5,27.86,-100.522,-54.326,-164
693.0,-14.2518,-11.6136,2.5,25.7224,-101.107,-127.837,-164
715.0,-3.25181,-11.6136,2.5,21.8134,-79.5961,71.6127,-164
3234.0,-1.75181,5.38644,2.5,4.8349,-70.2606,-67.0457,-164
3342.0,-21.7518,6.38644,2.5,21.7484,-148.887,-53.583,-164
3189.0,-24.2518,5.38644,2.5,24.3865,-250.0,0.0,-164
3167.0,1.74819,4.88644,2.5,5.51061,-69.8095,-104.221,-164
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-164
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-164
3489.0,-22.2518,7.38644,2.5,22.1012,-161.049,178.126,-164
2276.0,0.248192,-1.11356,2.5,11.1274,-74.5975,-39.3025,-164
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-164
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-164
2235.0,-20.2518,-1.11356,2.5,22.8333,-108.716,-65.1068,-164
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-164
2018.0,-17.7518,-2.61356,2.5,21.5284,-131.883,138.292,-164
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-164
2902.0,-19.7518,3.38644,2.5,20.54,-118.139,48.7062,-164
2573.0,0.748192,0.886438,2.5,9.17429,-76.2459,131.82,-164
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-164
2648.0,1.24819,1.38644,2.5,8.75259,-73.6059,46.5587,-164
2642.0,-1.75181,1.38644,2.5,8.73412,-75.8407,-136.546,-164
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-164
1052.0,-19.7518,-9.11356,2.5,27.2668,-100.398,77.5283,-163
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.2301,77.8919,-163
1828.0,-1.75181,-4.11356,2.5,14.1875,-78.213,-86.1139,-163
1756.0,-0.751808,-4.61356,2.5,14.6204,-78.5251,50.9247,-163
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-163
1530.0,-2.75181,-6.11356,2.5,16.2982,-83.4052,-68.0602,-163
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-163
258.0,-9.75181,-14.6136,2.5,26.3639,-98.2033,-40.2662,-163
478.0,-10.7518,-13.1136,2.5,25.3645,-108.472,67.1994,-163
475.0,-12.2518,-13.1136,2.5,26.0182,-102.544,32.3955,-163
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-163
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-163
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-163
853.0,-8.25181,-10.6136,2.5,22.0921,-96.1513,-30.9592,-163
774.0,-10.7518,-11.1136,2.5,23.5564,-90.0799,153.336,-163
917.0,-13.2518,-10.1136,2.5,23.9198,-100.282,85.4399,-163
693.0,-14.2518,-11.6136,2.5,25.7224,-122.437,161.723,-163
715.0,-3.25181,-11.6136,2.5,21.8134,-83.7969,22.8587,-163
613.0,-17.2518,-12.1136,2.5,27.86,-98.6179,28.7963,-163
3234.0,-1.75181,5.38644,2.5,4.8349,-70.2696,-65.4235,-163
3189.0,-24.2518,5.38644,2.5,24.3865,-102.576,-176.287,-163
3342.0,-21.7518,6.38644,2.5,21.7484,-250.0,0.0,-163
3167.0,1.74819,4.88644,2.5,5.51061,-70.443,-106.025,-163
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-163
3489.0,-22.2518,7.38644,2.5,22.1012,-117.475,59.5694,-163
2276.0,0.248192,-1.11356,2.5,11.1274,-75.7732,-23.029,-163
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-163
2235.0,-20.2518,-1.11356,2.5,22.8333,-106.271,-105.429,-163
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-163
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-163
2018.0,-17.7518,-2.61356,2.5,21.5284,-150.798,156.577,-163
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-163
2902.0,-19.7518,3.38644,2.5,20.54,-129.262,142.379,-163
2573.0,0.748192,0.886438,2.5,9.17429,-78.952,129.976,-163
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-163
2648.0,1.24819,1.38644,2.5,8.75259,-73.2741,36.2485,-163
2642.0,-1.75181,1.38644,2.5,8.73412,-77.2184,-152.357,-163
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-163
1052.0,-19.7518,-9.11356,2.5,27.2668,-104.924,81.7182,-162
1218.0,-10.7518,-8.11356,2.5,20.9099,-93.4765,-22.1233,-162
1828.0,-1.75181,-4.11356,2.5,14.1875,-76.9116,-60.5276,-162
1756.0,-0.751808,-4.61356,2.5,14.6204,-75.5548,48.7231,-162
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-162
1530.0,-2.75181,-6.11356,2.5,16.2982,-82.7246,-76.9781,-162
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-162
258.0,-9.75181,-14.6136,2.5,26.3639,-100.634,129.774,-162
478.0,-10.7518,-13.1136,2.5,25.3645,-108.133,28.2532,-162
475.0,-12.2518,-13.1136,2.5,26.0182,-91.0743,131.6,-162
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-162
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-162
